"","movie_id","actor_id","actor_name","billing_order","character"
"1",94201,4078,"Lee Van Cleef",0,"Jaroo"
"2",94201,4774,"Jim Brown",1,"Luke"
"3",94201,54123,"Patrick O'Neal",2,"Chavez"
"4",94201,15659,"Marianna Hill",3,"Claudine"
"5",94201,3339,"Elisha Cook Jr.",4,"Old Convict"
"6",94201,127032,"Iron Eyes Cody",5,"Santana"
"7",11165,1936,"Martin Balsam",0,"Admiral Husband E. Kimmel"
"8",11165,68411,"So Yamamura",1,"Admiral Isoroku Yamamoto"
"9",11165,4765,"Jason Robards",2,"General Walter C. Short"
"10",11165,7664,"Joseph Cotten",3,"Henry L. Stimson"
"11",11165,13251,"Tatsuya Mihashi",4,"Commander Minoru Genda"
"12",11165,5249,"E.G. Marshall",5,"Colonel Rufus S. Bratton"
"13",42586,5823,"Julie Andrews",0,"Lili Smith"
"14",42586,18735,"Rock Hudson",1,"Major William Larrabee"
"15",42586,55037,"Jeremy Kemp",2,"Colonel Kurt Von Ruger"
"16",42586,94836,"Lance Percival",3,"T.C. Carstairs"
"17",42586,165373,"Michael Witney",4,"Lt. George Youngblood Carson"
"18",42586,1074070,"Gloria Paul",5,"Crepe Suzette"
"19",10364,1903,"Alan Arkin",0,"Capt. John Yossarian"
"20",10364,1936,"Martin Balsam",1,"Col. Cathcart"
"21",10364,24318,"Richard Benjamin",2,"Maj. Danby"
"22",10364,64928,"Art Garfunkel",3,"Capt. Nately"
"23",10364,64929,"Jack Gilford",4,"Dr. ""Doc"" Daneeka"
"24",10364,7795,"Buck Henry",5,"Lt. Col. Korn"
"25",11040,4483,"Dustin Hoffman",0,"Jack Crabb"
"26",11040,6450,"Faye Dunaway",1,"Mrs. Louise Pendrake"
"27",11040,66670,"Chief Dan George",2,"Old Lodge Skins"
"28",11040,1936,"Martin Balsam",3,"Mr. Merriweather"
"29",11040,58661,"Richard Mulligan",4,"Gen. George Armstrong Custer"
"30",11040,9596,"Jeff Corey",5,"Wild Bill Hickok"
"31",38953,10158,"Robert Mitchum",0,"Charles"
"32",38953,12726,"Trevor Howard",1,"Father Collins"
"33",38953,122632,"Christopher Jones",2,"Major Doryan"
"34",38953,11859,"John Mills",3,"Michael"
"35",38953,7192,"Leo McKern",4,"Thomas Ryan"
"36",38953,15197,"Sarah Miles",5,"Rosy"
"37",11202,862,"George C. Scott",0,"General George S. Patton Jr."
"38",11202,9857,"Karl Malden",1,"General Omar N. Bradley"
"39",11202,40551,"Stephen Young",2,"Captain Chester B. Hansen"
"40",11202,15650,"Michael Strong",3,"Brigadier General Hobart Carver"
"41",11202,12431,"Carey Loftin",4,"General Bradley's Driver"
"42",11202,1089965,"Albert Dumortier",5,"Moroccan Minister"
"43",42345,738,"Sean Connery",0,"Jack Kehoe"
"44",42345,194,"Richard Harris",1,"James McKenna"
"45",42345,46780,"Samantha Eggar",2,"Mary Raines"
"46",42345,6637,"Frank Finlay",3,"Davies"
"47",42345,2516,"Anthony Zerbe",4,"Dougherty"
"48",42345,153694,"Bethel Leslie",5,"Mrs. Kehoe"
"49",10671,13784,"Burt Lancaster",0,"Mel Bakersfeld"
"50",10671,69810,"Dana Wynter",1,"Cindy Bakersfeld"
"51",10671,4299,"Dean Martin",2,"Vernon Demerest"
"52",10671,109701,"Barbara Hale",3,"Sarah Demerest"
"53",10671,3830,"Jean Seberg",4,"Tanya Livingston"
"54",10671,14061,"Jacqueline Bisset",5,"Gwen Meighen"
"55",5185,41957,"Robert Stephens",0,"Sherlock Holmes"
"56",5185,13329,"Colin Blakely",1,"Dr. John Watson"
"57",5185,9763,"Geneviève Page",2,"Gabrielle Valadon"
"58",5185,113,"Christopher Lee",3,"Mycroft Holmes"
"59",5185,41985,"Tamara Toumanova",4,"Madame Petrova"
"60",5185,20128,"Clive Revill",5,"Nikolai Rogozhin"
"61",38222,10400,"Barbra Streisand",0,"Daisy Gamble"
"62",38222,2565,"Yves Montand",1,"Dr. Marc Chabot"
"63",38222,64930,"Bob Newhart",2,"Dr. Mason Hume"
"64",38222,153719,"Larry Blyden",3,"Warren Pratt"
"65",38222,14063,"Simon Oakland",4,"Dr. Conrad Fuller"
"66",38222,514,"Jack Nicholson",5,"Tad Pringle"
"67",85290,10017,"Charlton Heston",0,"Whip Hoxworth"
"68",85290,44550,"Tina Chen",1,"Nyuk Tsin"
"69",85290,400,"Geraldine Chaplin",2,"Purity Hoxworth"
"70",85290,10134,"Mako",3,"Mun Ki"
"71",85290,29426,"John Phillip Law",4,"Noel Hoxworth"
"72",85290,8224,"Alec McCowen",5,"Micah Hale"
"73",2998,29896,"Mark Frechette",0,"Mark"
"74",2998,29897,"Daria Halprin",1,"Daria"
"75",2998,8496,"Paul Fix",2,"Cafe Owner"
"76",2998,3173,"G. D. Spradlin",3,"Lee's Associate"
"77",2998,225930,"Bill Garaway",4,"Morty"
"78",2998,225931,"Kathleen Cleaver",5,"Kathleen"
"79",34377,56557,"Kenneth Nelson",0,"Michael"
"80",34377,112253,"Leonard Frey",1,"Harold"
"81",34377,161908,"Peter White",2,"Alan McCarthy"
"82",34377,19183,"Cliff Gorman",3,"Emory"
"83",34377,235937,"Frederick Combs",4,"Donald"
"84",34377,1366109,"Reuben Greene",5,"Bernard"
"85",13765,3926,"Albert Finney",0,"Ebenezer Scrooge"
"86",13765,12248,"Alec Guinness",1,"Jacob Marley's Ghost"
"87",13765,45465,"Edith Evans",2,"Ghost of Christmas Past"
"88",13765,67676,"Kenneth More",3,"Ghost of Christmas Present"
"89",13765,69764,"Laurence Naismith",4,"Mr. Fezziwig"
"90",13765,29307,"Michael Medwin",5,"Nephew Fred"
"91",40973,21462,"Raquel Welch",0,"Myra Breckinridge"
"92",40973,1227454,"Rex Reed",1,"Young Man"
"93",40973,103616,"Mae West",2,"Leticia Van Allen"
"94",40973,6593,"John Huston",3,"Buck Loner"
"95",40973,28768,"Farrah Fawcett-Majors",4,"Mary Ann Pringle"
"96",40973,122004,"Roger C. Carmel",5,"Dr. Randolph Spencer Montag"
"97",10112,57329,"Phil Harris",0,"O'Malley (voice)"
"98",10112,44714,"Eva Gabor",1,"Duchess (voice)"
"99",10112,34759,"Sterling Holloway",2,"Roquefort (voice)"
"100",10112,7077,"Scatman Crothers",3,"Scat Cat (voice)"
"101",10112,77548,"Paul Winchell",4,"Chinese Cat (voice)"
"102",10112,951459,"Lord Tim Hudson",5,"English Cat (voice)"
