"","movie_id","director_id","director_name"
"1",94201,6778,"John Guillermin"
"2",11165,68412,"Toshio Masuda"
"3",11165,31074,"Kinji Fukasaku"
"4",11165,2087,"Richard Fleischer"
"5",42586,1927,"Blake Edwards"
"6",10364,5342,"Mike Nichols"
"7",11040,6448,"Arthur Penn"
"8",38953,12238,"David Lean"
"9",11202,13265,"Franklin J. Schaffner"
"10",42345,18854,"Martin Ritt"
"11",10671,24939,"George Seaton"
"12",5185,3146,"Billy Wilder"
"13",38222,13980,"Vincente Minnelli"
"14",85290,18592,"Tom Gries"
"15",2998,15189,"Michelangelo Antonioni"
"16",34377,15175,"William Friedkin"
"17",13765,7501,"Ronald Neame"
"18",40973,97958,"Michael Sarne"
"19",10112,57314,"Wolfgang Reitherman"
"20",38765,51875,"Andrew V. McLaglen"
"21",11589,54451,"Brian G. Hutton"
"22",23330,7767,"Sam Peckinpah"
"23",651,9789,"Robert Altman"
"24",1685,18635,"Ted Post"
"25",11916,14773,"Don Siegel"
"26",44721,64508,"Sidney J. Furie"
"27",9062,133259,"Arthur Hiller"
"28",5722,4590,"Russ Meyer"
"29",14801,15663,"Joseph Sargent"
"30",26617,19450,"Bob Rafelson"
"31",24918,14639,"Mel Brooks"
"32",71943,29648,"Dan Curtis"
"33",9459,57885,"Michael Wadleigh"
"34",42533,15959,"Richard Compton"
"35",46691,16513,"John G. Avildsen"
"36",28733,101743,"Bob Kelljan"
"37",28681,931246,"Jack Woods"
"38",28681,3993,"Dennis Muren"
"39",1168799,35475,"Sean S. Cunningham"
"40",12335,5834,"Robert Stevenson"
"41",14811,13563,"Norman Jewison"
"42",10514,1744,"Robert Wise"
"43",36492,5342,"Mike Nichols"
"44",21717,94096,"George Sherman"
"45",984,14773,"Don Siegel"
"46",36850,58251,"Elaine May"
"47",30941,39996,"Sidney Lumet"
"48",252,3451,"Mel Stuart"
"49",466,6349,"Alan J. Pakula"
"50",1687,9108,"Don Taylor"
"51",11316,3556,"Roman Polanski"
"52",185,240,"Stanley Kubrick"
"53",994,7767,"Sam Peckinpah"
"54",11302,1243,"Woody Allen"
"55",1051,15175,"William Friedkin"
"56",27554,98199,"Jerry Schatzberg"
"57",11951,21544,"Richard C. Sarafian"
"58",25188,39012,"Peter Bogdanovich"
"59",482,6558,"Gordon Parks"
"60",71945,29648,"Dan Curtis"
"61",636,1,"George Lucas"
"62",15393,190,"Clint Eastwood"
"63",108723,40378,"George McCowan"
"64",31906,14773,"Don Siegel"
"65",139324,29765,"Marvin J. Chomsky"
"66",839,488,"Steven Spielberg"
"67",5822,135650,"Melvin Van Peebles"
"68",42517,31310,"Jack Hill"
"69",414817,1206107,"Zlatko Grgić"
"70",117213,1075486,"Albert T. Viola"
"71",45793,133259,"Arthur Hiller"
"72",238,1776,"Francis Ford Coppola"
"73",15573,21958,"Mark Rydell"
"74",14902,129514,"Peter H. Hunt"
"75",551,7501,"Ronald Neame"
"76",46059,12804,"Peter Yates"
"77",10784,66777,"Bob Fosse"
"78",6949,39012,"Peter Bogdanovich"
"79",993,10601,"Joseph L. Mankiewicz"
"80",5916,7767,"Sam Peckinpah"
"81",11943,2226,"Sydney Pollack"
"82",42492,10930,"Irvin Kershner"
"83",12530,3146,"Billy Wilder"
"84",10669,19665,"John Boorman"
"85",23148,64508,"Sidney J. Furie"
"86",11624,1243,"Woody Allen"
"87",493,6558,"Gordon Parks"
"88",1688,18669,"J. Lee Thompson"
"89",87514,6778,"John Guillermin"
"90",21711,12964,"Michael Ritchie"
"91",12593,16384,"Ralph Bakshi"
"92",21968,88148,"Gordon Parks Jr."
"93",32061,224872,"Byron Chudnow"
"94",1842,66224,"Charles B. Pierce"
"95",40983,6840,"Larry Hagman"
"96",144662,91677,"Donald W. Thompson"
"97",692,10367,"John Waters"
"98",9552,15175,"William Friedkin"
"99",5924,13265,"Franklin J. Schaffner"
"100",97519,29646,"Charles Jarrott"
"101",9277,9577,"George Roy Hill"
"102",11901,190,"Clint Eastwood"
"103",10236,2226,"Sydney Pollack"
"104",11886,57314,"Wolfgang Reitherman"
"105",11577,7767,"Sam Peckinpah"
"106",9040,39996,"Sidney Lumet"
"107",12545,13563,"Norman Jewison"
"108",11293,39012,"Peter Bogdanovich"
"109",14886,4964,"Hal Ashby"
"110",29735,13859,"Stuart Rosenberg"
"111",494,6778,"John Guillermin"
"112",11561,1243,"Woody Allen"
"113",31605,1214133,"Lamont Johnson"
"114",1705,18669,"J. Lee Thompson"
"115",1847,9789,"Robert Altman"
"116",67696,16897,"Sidney Poitier"
"117",103314,64508,"Sidney J. Furie"
"118",56150,543946,"Hall Bartlett"
"119",2362,4782,"Michael Crichton"
"120",28110,8328,"John Milius"
"121",30593,16384,"Ralph Bakshi"
"122",31587,98199,"Jerry Schatzberg"
"123",9461,57727,"Robert Clouse"
"124",838,1,"George Lucas"
"125",40374,190,"Clint Eastwood"
"126",25473,29907,"Phil Karlson"
"127",22021,31310,"Jack Hill"
"128",203,1032,"Martin Scorsese"
"129",22307,1150,"Brian De Palma"
"130",29425,14999,"George A. Romero"
"131",28797,8333,"Eddie Romero"
"132",85970,42171,"Jonathan Kaplan"
"133",1479614,1601664,"Robert Gardner"
"134",5919,6778,"John Guillermin"
"135",240,1776,"Francis Ford Coppola"
"136",35275,69300,"Gene Saks"
"137",682,9915,"Guy Hamilton"
"138",11123,19457,"Mark Robson"
"139",11034,25630,"Jack Clayton"
"140",829,3556,"Roman Polanski"
"141",37627,13284,"Stanley Donen"
"142",28415,2226,"Sydney Pollack"
"143",8348,12114,"Michael Cimino"
"144",987,3146,"Billy Wilder"
"145",33740,145797,"Jack Haley Jr."
"146",27932,30422,"Jack Smight"
"147",13939,19244,"Michael Winner"
"148",5121,488,"Steven Spielberg"
"149",29464,16897,"Sidney Poitier"
"150",4985,18392,"Robert Aldrich"
"151",3034,14639,"Mel Brooks"
"152",11072,14639,"Mel Brooks"
"153",16153,1032,"Martin Scorsese"
"154",592,1776,"Francis Ford Coppola"
"155",14683,1180949,"Robert Taylor"
"156",11942,7767,"Sam Peckinpah"
"157",27327,1150,"Brian De Palma"
"158",16246,58499,"H.B. Halicki"
"159",29845,11147,"John Cassavetes"
"160",42448,47773,"Paul Mazursky"
"161",27085,95329,"Kevin Connor"
"162",28153,19266,"Larry Cohen"
"163",42450,15959,"Richard Compton"
"164",38925,89373,"Martin Davidson"
"165",38925,121643,"Stephen Verona"
"166",30497,10051,"Tobe Hooper"
"167",14267,10367,"John Waters"
"168",78353,13284,"Stanley Donen"
"169",3175,240,"Stanley Kubrick"
"170",17538,13779,"Stuart Millar"
"171",20187,190,"Clint Eastwood"
"172",39282,18378,"Herbert Ross"
"173",983,6593,"John Huston"
"174",11963,2226,"Sydney Pollack"
"175",578,488,"Steven Spielberg"
"176",11484,13563,"Norman Jewison"
"177",8043,18592,"Tom Gries"
"178",4704,39012,"Peter Bogdanovich"
"179",11843,1927,"Blake Edwards"
"180",19740,9577,"George Roy Hill"
"181",31604,7767,"Sam Peckinpah"
"182",10711,13776,"John Frankenheimer"
"183",31121,4964,"Hal Ashby"
"184",4990,18392,"Robert Aldrich"
"185",510,3974,"Miloš Forman"
"186",11686,1243,"Woody Allen"
"187",29859,3460,"Gene Wilder"
"188",22094,1723,"Walter Hill"
"189",32620,13859,"Stuart Rosenberg"
"190",1835,19333,"Dick Richards"
"191",3121,9789,"Robert Altman"
"192",84259,34611,"Howard Zieff"
"193",968,39996,"Sidney Lumet"
"194",36685,13484,"Jim Sharman"
"195",31671,18592,"Tom Gries"
"196",18710,102627,"Steve Carver"
"197",35711,77300,"Michael Schultz"
"198",12223,31439,"Bryan Forbes"
"199",4917,8262,"L.Q. Jones"
"200",39154,114518,"Bill Rebane"
"201",13282,101377,"Paul Bartel"
"202",19174,109086,"D'Urville Martin"
"203",5725,4590,"Russ Meyer"
"204",29473,16897,"Sidney Poitier"
"205",47178,67834,"Floyd Mutrux"
"206",10730,6778,"John Guillermin"
"207",100922,14674,"George Cukor"
"208",42252,6448,"Arthur Penn"
"209",10649,66222,"James Fargo"
"210",23479,12964,"Michael Ritchie"
"211",10803,20412,"Michael Anderson"
"212",891,6349,"Alan J. Pakula"
"213",6883,51373,"Larry Peerce"
"214",11558,133259,"Arthur Hiller"
"215",10518,19304,"John Schlesinger"
"216",19610,13861,"Frank Pierson"
"217",12268,1927,"Blake Edwards"
"218",32037,16566,"George P. Cosmatos"
"219",5228,19450,"Bob Rafelson"
"220",54613,50567,"Melvin Frank"
"221",5854,2636,"Alfred Hitchcock"
"222",96696,64508,"Sidney J. Furie"
"223",10970,14639,"Mel Brooks"
"224",11422,30422,"Jack Smight"
"225",10774,39996,"Sidney Lumet"
"226",10747,190,"Clint Eastwood"
"227",26176,12804,"Peter Yates"
"228",794,7187,"Richard Donner"
"229",10640,35525,"Richard T. Heffron"
"230",103,1032,"Martin Scorsese"
"231",7340,1150,"Brian De Palma"
