"","movie_id","top_genre"
"1",10112,"Animation"
"2",9062,"Romance"
"3",10671,"Action"
"4",11202,"War"
"5",651,"Comedy"
"6",9459,"Documentary"
"7",11165,"War"
"8",11040,"Western"
"9",38953,"Romance"
"10",10364,"War"
"11",46691,"Drama"
"12",1685,"Adventure"
"13",26617,"Drama"
"14",38222,"Fantasy"
"15",42588,"Comedy"
"16",5722,"Comedy"
"17",215843,"Music"
"18",31677,"Comedy"
"19",38765,"Western"
"20",13765,"Fantasy"
"21",11589,"Adventure"
"22",11916,"Western"
"23",23330,"Comedy"
"24",94201,"Western"
"25",71943,"Drama"
"26",34377,"Drama"
"27",42586,"Music"
"28",40973,"Comedy"
"29",85290,"Drama"
"30",42345,"Drama"
"31",24918,"Comedy"
"32",44721,"Drama"
"33",5185,"Adventure"
"34",28733,"Horror"
"35",42600,"Comedy"
"36",2998,"Drama"
"37",28681,"Adventure"
"38",42533,"Action"
"39",65891,"Horror"
"40",14801,"Science Fiction"
"41",132,"Documentary"
"42",1168799,"Documentary"
"43",1617820,NA
"44",1613478,"Thriller"
"45",1611859,"Documentary"
"46",1606261,NA
"47",1602061,NA
"48",1593921,NA
"49",1593919,NA
"50",1591454,NA
"51",1591159,"Animation"
"52",1590391,"Comedy"
"53",1589797,"Documentary"
"54",1588992,NA
"55",1587745,NA
"56",1585964,NA
"57",1585706,NA
"58",1585033,NA
"59",1563493,NA
"60",1550788,NA
"61",1547931,NA
"62",1545269,NA
"63",1544681,NA
"64",1543475,NA
"65",1542035,NA
"66",1537111,"Music"
"67",1532863,NA
"68",1526540,NA
"69",1524405,NA
"70",1512831,"Documentary"
"71",1505086,NA
"72",1502300,"Documentary"
"73",1501394,"TV Movie"
"74",1497543,"Drama"
"75",1497106,"Comedy"
"76",1489213,"Action"
"77",1483018,"Comedy"
"78",1480444,NA
"79",1480097,"Documentary"
"80",1479471,NA
"81",1479197,"Thriller"
"82",1479011,"Animation"
"83",1478199,NA
"84",1477628,NA
"85",1477359,"Documentary"
"86",1473949,NA
"87",1472437,"Romance"
"88",1472139,"Animation"
"89",1472134,"Animation"
"90",1469564,NA
"91",1468204,"Comedy"
"92",1466910,"Documentary"
"93",1463524,NA
"94",1459910,"Animation"
"95",1459834,NA
"96",1459454,NA
"97",1454219,"Animation"
"98",1454211,"Documentary"
"99",1452831,NA
"100",1452811,NA
"101",1451599,"Documentary"
"102",1451482,"Documentary"
"103",1447644,"Documentary"
"104",1447633,NA
"105",1446807,"Documentary"
"106",1443527,"Drama"
"107",1442832,"Documentary"
"108",1442199,"Adventure"
"109",1440552,NA
"110",1439550,NA
"111",1439259,NA
"112",1435861,NA
"113",1435857,NA
"114",1435684,"Crime"
"115",1433481,NA
"116",1432807,"Documentary"
"117",1432616,"Documentary"
"118",1432519,"Documentary"
"119",1432517,"Documentary"
"120",1426130,NA
"121",1425058,"Drama"
"122",1424452,NA
"123",1421510,NA
"124",1419540,"Documentary"
"125",1418189,NA
"126",1418186,NA
"127",1415368,"Crime"
"128",1415049,NA
"129",1406983,"Documentary"
"130",1406475,NA
"131",1405906,"Documentary"
"132",1405297,NA
"133",1402348,NA
"134",1401572,"Documentary"
"135",1401554,"Documentary"
"136",1385802,NA
"137",1385082,"Animation"
"138",1384615,"Drama"
"139",1384429,NA
"140",1381463,"Animation"
"141",1380507,"Documentary"
"142",1367178,"Animation"
"143",1365823,NA
"144",1364707,NA
"145",1364062,NA
"146",1364005,"War"
"147",1360635,"Documentary"
"148",1359337,"Animation"
"149",1359048,"Family"
"150",1358203,"Documentary"
"151",1358096,NA
"152",1356105,"Documentary"
"153",1351815,"Music"
"154",1340297,NA
"155",1339855,"Animation"
"156",1338993,"Animation"
"157",1338922,NA
"158",1327670,"Animation"
"159",1327581,"Animation"
"160",1325059,"Comedy"
"161",1324894,"Documentary"
"162",1324879,NA
"163",1324838,"Documentary"
"164",1324159,NA
"165",1324076,NA
"166",1324071,NA
"167",1324056,NA
"168",1324041,NA
"169",1322066,NA
"170",1321927,"Animation"
"171",1316770,"Drama"
"172",1316267,"Drama"
"173",1316179,"Horror"
"174",1315879,"Drama"
"175",1310971,"Documentary"
"176",1310941,NA
"177",1310313,"Animation"
"178",1309580,NA
"179",1309191,"Horror"
"180",1306928,"Documentary"
"181",1305514,"Thriller"
"182",1304957,"Documentary"
"183",1304420,"Animation"
"184",1304419,"Animation"
"185",1304418,"Animation"
"186",1304413,"Animation"
"187",1302530,"Animation"
"188",1300995,NA
"189",1293918,NA
"190",1290437,"Crime"
"191",1288315,"Documentary"
"192",1287090,"Horror"
"193",1285757,NA
"194",1285082,NA
"195",1283690,NA
"196",1282896,NA
"197",1281981,"Drama"
"198",1278669,"Documentary"
"199",1278116,"Romance"
"200",1277755,NA
"201",14811,"Drama"
"202",11951,"Action"
"203",1051,"Action"
"204",984,"Action"
"205",25188,"Drama"
"206",36492,"Drama"
"207",185,"Science Fiction"
"208",12335,"Adventure"
"209",5822,"Action"
"210",466,"Thriller"
"211",10514,"Science Fiction"
"212",1687,"Action"
"213",482,"Action"
"214",11302,"Comedy"
"215",42493,"Comedy"
"216",15393,"Drama"
"217",42517,"Action"
"218",11234,"Science Fiction"
"219",139324,"Action"
"220",21717,"Western"
"221",117213,"Drama"
"222",36850,"Comedy"
"223",30941,"Crime"
"224",252,"Family"
"225",994,"Thriller"
"226",636,"Science Fiction"
"227",27554,"Drama"
"228",71945,"Drama"
"229",31906,"Thriller"
"230",11316,"War"
"231",108723,"Drama"
"232",414817,"Animation"
"233",839,"Action"
"234",1614665,NA
"235",1614316,NA
"236",1608839,"Documentary"
"237",1604076,"Documentary"
"238",1603855,"Romance"
"239",1595183,NA
"240",1593401,NA
"241",1591915,"Western"
"242",1588989,NA
"243",1577618,"Documentary"
"244",1573212,NA
"245",1572439,NA
"246",1571293,NA
"247",1564365,"Documentary"
"248",1563074,NA
"249",1560128,NA
"250",1558222,NA
"251",1556861,NA
"252",1556859,"Documentary"
"253",1556853,"Documentary"
"254",1556850,"Documentary"
"255",1556845,"Documentary"
"256",1556835,"Documentary"
