"","movie_id","title","release_date","year","budget","revenue","popularity","collection_id","collection_name","profit","established_ip","revenue_2024_dollars","budget_2024_dollars","profit_2024_dollars","log_profitability"
"1",94201,"El Condor",1970-06-19,1970,35000000,4500000,0.4921,NA,NA,-8.3e+07,FALSE,36358010.3026401,282784524.576089,-670603301.137583,31.7741558423201
"2",11165,"Tora! Tora! Tora!",1970-01-26,1970,25485000,37150000,3.1855,NA,NA,-26562500,FALSE,300155573.942906,205907531.680618,-214613255.258639,33.5677841990102
"3",42586,"Darling Lili",1970-06-18,1970,25000000,3250000,0.9727,NA,NA,-59250000,FALSE,26258562.9963512,201988946.125778,-478713802.318094,31.1122612052642
"4",33157,"Waterloo",1970-10-26,1970,25000000,3052000,2.081,NA,NA,-59448000,FALSE,24658810.543035,201988946.125778,-480313554.77141,31.0494033223448
"5",10364,"Catch-22",1970-06-24,1970,18000000,24911670,1.7969,NA,NA,-20088330,FALSE,201275278.781327,145432041.21056,-162304824.245074,32.8204385103263
"6",11040,"Little Big Man",1970-12-23,1970,15000000,31559552,3.9429,NA,NA,-5940448,FALSE,254987225.947268,121193367.675467,-47996193.2413995,32.8746568858497
"7",38953,"Ryan's Daughter",1970-03-19,1970,13300000,30800000,0.7656,NA,NA,-2450000,FALSE,248850381.626959,107458119.338914,-19794916.7203262,32.7300091092616
"8",11202,"Patton",1970-01-25,1970,12000000,89800000,3.1899,609766,"Patton Collection",59800000,TRUE,725544294.483795,96954694.1403735,483157559.132861,33.6972220091506
"9",42345,"The Molly Maguires",1970-02-08,1970,11000000,2200000,0.8003,NA,NA,-25300000,FALSE,17775027.2590685,88875136.2953424,-204412813.479288,29.901083017217
"10",10671,"Airport",1970-03-25,1970,10000000,100489151,1.4934,33938,"Airport Collection",75489151,TRUE,811907908.302567,80795578.4503113,609918962.176789,33.6273652484718
"11",5185,"The Private Life of Sherlock Holmes",1970-10-29,1970,10000000,1500000,0.8166,NA,NA,-23500000,FALSE,12119336.7675467,80795578.4503113,-189869609.358232,29.4227805851566
"12",38222,"On a Clear Day You Can See Forever",1970-06-17,1970,8000000,1.4e+07,0.6442,NA,NA,-6e+06,FALSE,113113809.830436,64636462.760249,-48477347.0701868,31.4332292553495
"13",85290,"The Hawaiians",1970-06-17,1970,8000000,2300000,0.3748,NA,NA,-17700000,FALSE,18582983.0435716,64636462.760249,-143008173.857051,29.6270810486693
"14",2998,"Zabriskie Point",1970-03-26,1970,7000000,1e+06,2.1642,NA,NA,-16500000,FALSE,8079557.84503113,56556904.9152179,-133312704.443014,28.6606405331097
"15",34377,"The Boys in the Band",1970-03-16,1970,5500000,3500000,0.584,NA,NA,-10250000,FALSE,28278452.4576089,44437568.1476712,-82815467.9115691,29.6722414447882
"16",13765,"Scrooge",1970-11-05,1970,5000000,6e+06,1.9306,NA,NA,-6500000,FALSE,48477347.0701868,40397789.2251556,-52517125.9927023,30.1159277657165
"17",40973,"Myra Breckinridge",1970-06-24,1970,5000000,3e+06,0.5228,NA,NA,-9500000,FALSE,24238673.5350934,40397789.2251556,-76755799.5277957,29.4227805851566
"18",10112,"The Aristocats",1970-12-24,1970,4000000,1.91e+08,6.6485,NA,NA,1.81e+08,FALSE,1543195548.40095,32318231.3801245,1462399969.95063,33.3532981732209
"19",38765,"Chisum",1970-07-23,1970,4000000,6e+06,1.7829,NA,NA,-4e+06,FALSE,48477347.0701868,32318231.3801245,-32318231.3801245,29.8927842144023
"20",11589,"Kelly's Heroes",1970-06-22,1970,4000000,5200000,2.9845,NA,NA,-4800000,FALSE,42013700.7941619,32318231.3801245,-38781877.6561494,29.7496833707617
"21",23330,"The Ballad of Cable Hogue",1970-03-18,1970,3716946,5e+06,1.0828,NA,NA,-4292365,FALSE,40397789.2251556,30031280.2138571,-34680411.309487,29.637070659853
"22",651,"M*A*S*H",1970-02-18,1970,3500000,81600000,6.273,NA,NA,72850000,FALSE,659291920.15454,28278452.4576089,588595789.010518,32.3693226145198
"23",1685,"Beneath the Planet of the Apes",1970-04-23,1970,3000000,18999718,3.2542,1709,"Planet of the Apes (Original) Collection",11499718,TRUE,153509320.620279,24238673.5350934,92912636.7825457,30.7577668096735
"24",11916,"Two Mules for Sister Sara",1970-03-02,1970,2500000,5050000,1.9182,NA,NA,-1200000,FALSE,40801767.1174072,20198894.6125778,-9695469.41403735,29.2504093592158
"25",44721,"Little Fauss and Big Halsy",1970-10-21,1970,2500000,1755485,0.3826,NA,NA,-4494515,FALSE,14183542.6035845,20198894.6125778,-36313693.9278601,28.1937662879442
"26",9062,"Love Story",1970-12-16,1970,2200000,136400000,2.7954,1156569,"Love Story Collection",130900000,TRUE,1102051690.06225,17775027.2590685,1057614121.91457,32.418779489828
"27",5722,"Beyond the Valley of the Dolls",1970-06-17,1970,2090000,9e+06,0.8926,NA,NA,3775000,FALSE,72716020.6052801,16886275.8961151,30500330.8649925,29.6491190273673
"28",14801,"Colossus: The Forbin Project",1970-04-08,1970,2000000,308828,0.9315,NA,NA,-4691172,FALSE,2495193.69016527,16159115.6900623,-37902595.5349904,26.2329067732474
"29",26617,"Five Easy Pieces",1970-09-12,1970,1600000,18099091,1.0619,NA,NA,14099091,FALSE,146232652.676982,12927292.5520498,113914421.296858,30.0805957293163
"30",24918,"The Twelve Chairs",1970-10-28,1970,1500000,1806258,0.9892,NA,NA,-1943742,FALSE,14593765.9940502,12119336.7675467,-15704575.9248165,27.7114527940971
"31",98491,"Wuthering Heights",1970-06-09,1970,800000,4500000,1.6152,NA,NA,2500000,FALSE,36358010.3026401,6463646.2760249,20198894.6125778,27.9956642295165
