"","movie_id","title","release_date","year","budget","revenue","popularity","collection_id","collection_name","profit","established_ip","revenue_2024_dollars","budget_2024_dollars","profit_2024_dollars","log_profitability","log_budget","top_genre","resid0","ip_power_prior_decay","installment","years_since_last_installment","ip_power_evergreen_prior","ip_power_momentum_prior","resid_actor","abs_resid","actor_power_prior_sum","actor_power_prior_max","actor_momentum_prior_sum","actor_momentum_prior_max","n_cast","actor_power_prior_concentration"
"1",94201,"El Condor",1970-06-19,1970,35000000,4500000,0.4691,NA,NA,-8.3e+07,FALSE,36358010.3026401,282784524.576089,-670603301.137583,-2.96756139658729,17.3708586194537,"Western",-2.42485841252241,0,1,NA,0,0,-2.35720402353873,2.35720402353873,0,0,0,0,6,NA
"2",11165,"Tora! Tora! Tora!",1970-01-26,1970,25485000,37150000,3.9634,NA,NA,-26562500,FALSE,300155573.942906,205907531.680618,-214613255.258639,-0.539417004502392,17.0536006017563,"War",-0.310926148714348,0,1,NA,0,0,-0.285316607459986,0.285316607459986,-0.0286178976309914,0,-0.0286178976309914,0,6,0
"3",42586,"Darling Lili",1970-06-18,1970,25000000,3250000,0.6076,NA,NA,-59250000,FALSE,26258562.9963512,201988946.125778,-478713802.318094,-2.95651156040071,17.0343863828325,"Music",-2.58172989240663,0,1,NA,0,0,-2.5204371091513,2.5204371091513,0,0,0,0,6,NA
"4",10364,"Catch-22",1970-06-24,1970,18000000,24911670,1.4354,NA,NA,-20088330,FALSE,201275278.781327,145432041.21056,-162304824.245074,-0.591326121394546,16.7058823158604,"War",-0.40264872116295,0,1,NA,0,0,-0.392392241402167,0.392392241402167,0,0,0,0,6,NA
"5",11040,"Little Big Man",1970-12-23,1970,15000000,31559552,4.0895,NA,NA,-5940448,FALSE,254987225.947268,121193367.675467,-47996193.2413995,-0.172464632283221,16.5235607590665,"Western",0.27322344898272,0,1,NA,0,0,0.303466471692151,0.303466471692151,-0.0085835802806724,0,-0.0085835802806724,0,6,0
"6",38953,"Ryan's Daughter",1970-03-19,1970,13300000,30800000,0.8072,NA,NA,-2450000,FALSE,248850381.626959,107458119.338914,-19794916.7203262,-0.0765400771223344,16.403274593192,"Romance",-0.275962327099598,0,1,NA,0,0,-0.26260570909218,0.26260570909218,0,0,0,0,6,NA
"7",11202,"Patton",1970-01-25,1970,12000000,89800000,2.2404,609766,"Patton Collection",59800000,TRUE,725544294.483795,96954694.1403735,483157559.132861,1.096387593646,16.3004172077523,"War",1.23863957503669,0,1,NA,0,0,1.23099325534519,1.23099325534519,0,0,0,0,6,NA
"8",42345,"The Molly Maguires",1970-02-08,1970,11000000,2200000,0.5791,NA,NA,-25300000,FALSE,17775027.2590685,88875136.2953424,-204412813.479288,-2.52572864430826,16.2134058307626,"Drama",-2.29428886004756,0,1,NA,0,0,-2.25540317606795,2.25540317606795,0,0,0,0,6,NA
"9",10671,"Airport",1970-03-25,1970,10000000,100489151,1.493,33938,"Airport Collection",75489151,TRUE,811907908.302567,80795578.4503113,609918962.176789,1.39117394655513,16.1180956509583,"Action",1.27642595244397,0,1,NA,0,0,1.37122135137877,1.37122135137877,0,0,0,0,6,NA
"10",5185,"The Private Life of Sherlock Holmes",1970-10-29,1970,10000000,1500000,0.9329,NA,NA,-23500000,FALSE,12119336.7675467,80795578.4503113,-189869609.358232,-2.81341071676004,16.1180956509583,"Adventure",-2.99913619144506,0,1,NA,0,0,-2.83371023364209,2.83371023364209,0,0,0,0,6,NA
"11",38222,"On a Clear Day You Can See Forever",1970-06-17,1970,8000000,1.4e+07,0.4575,NA,NA,-6e+06,FALSE,113113809.830436,64636462.760249,-48477347.0701868,-0.356674943938732,15.8949520996441,"Fantasy",-0.548507964384277,0,1,NA,0,0,-0.547268451108137,0.547268451108137,0.051590952298634,0.58961088341296,0.051590952298634,0.58961088341296,6,11.4285714285714
"12",85290,"The Hawaiians",1970-06-17,1970,8000000,2300000,0.3582,NA,NA,-17700000,FALSE,18582983.0435716,64636462.760249,-143008173.857051,-2.16282315061889,15.8949520996441,"Drama",-1.96784605464624,0,1,NA,0,0,-1.94302129272635,1.94302129272635,0.0251372734747213,0.0628431836868033,0.0251372734747213,0.0628431836868033,6,2.5
